Макар Теймуразович Васильев;Красноуфимск;алл. Светлая, д. 359 к. 3;Merlion;Телохранитель;+7 (815) 362-91-45;szinoveva@hotmail.com;1952-04-30;109547
Герасим Арсенович Кузнецов;Морозовск;ш. Островского, д. 80 к. 24;171 Меридиан;Водолаз;+7 (380) 383-13-86;baranovipat@yahoo.com;2003-02-16;40175
Зыкова Эмилия Викторовна;Катав-Ивановск;бул. Металлургов, д. 583;Государственная транспортная лизинговая компания;Инженер-физик;8 (669) 065-41-68;prohortretjakov@hotmail.com;2000-11-24;106282
Зинаида Юльевна Смирнова;Меренга;алл. Минина, д. 17 стр. 45;ГК 1520;Детектив;+7 (894) 532-92-09;vladimirovamarina@yandex.ru;1954-06-26;45192
Валентина Сергеевна Евдокимова;Петрозаводск;наб. Лесозаводская, д. 858;АСЦ-Холдинг;Воздухоплаватель;8 (125) 968-81-53;egorovdobromisl@mail.ru;1970-06-26;141373
Богдан Витальевич Силин;Усть-Баргузин;бул. Гафури, д. 3 к. 8/5;Артис-Агро Экспорт;Постановщик трюков;8 405 494 5491;klavdija57@yandex.ru;1976-03-19;177512
Наина Богдановна Герасимова;Меренга;алл. 9 мая, д. 128 стр. 125;Банк ФК Открытие;Кузнец;+7 (396) 553-4831;avdeevavde@mail.ru;1998-11-27;141199
Матвеева Анна Захаровна;Асино;ш. Западное, д. 6;Р-Фарм;Офтальмолог;8 (633) 737-7648;demid2005@yahoo.com;1974-06-14;152877
Мясникова Октябрина Рубеновна;Владикавказ;пер. Спартака, д. 2 стр. 96;СК Росгосстрах;Бухгалтер;+70995449420;prohorovizjaslav@yahoo.com;2001-06-05;128497
Исаев Андрон Аверьянович;Нижний Тагил;наб. Шоссейная, д. 56;Ачимгаз;Комендант;+70132921977;svetozar1998@yandex.ru;1988-04-19;53875
Федосий Филатович Селезнев;Сочи;ш. Сурикова, д. 836;Росжелдорпроект;Бортмеханик;8 044 664 77 79;vasilevmihe@hotmail.com;1982-02-19;198051
Журавлев Тихон Владиленович;Комсомольск-на-Амуре;наб. Парковая, д. 3 к. 907;Эркафарм;Модельер;8 235 626 38 01;dobroslavharitonov@hotmail.com;1997-02-27;165306
Орехова Лора Владимировна;Ханты-Мансийск;ш. Снежное, д. 4 стр. 17;ЭйчПи Инк (HP Inc.);Египтолог;+7 (159) 668-4965;viktor_1971@hotmail.com;1994-12-29;100251
Светлана Аркадьевна Семенова;Урус-Мартан;ул. Ильича, д. 2/7 к. 14;Группа ЭПМ;Прокурор;+75288027871;andreevfortunat@rambler.ru;1988-05-19;184432
Соловьев Викторин Ефстафьевич;Красноуфимск;ул. Торговая, д. 38 стр. 502;Новосибирскэнергосбыт;Распиловщик;8 (127) 216-1973;anastasija1995@gmail.com;1993-12-11;120629
Ефим Валерьянович Ермаков;Дзержинск;наб. Кочубея, д. 3/7 стр. 96;ВО ЖДТ России;Акушер;+7 762 045 39 06;fmishina@gmail.com;1973-06-04;188821
Дарья Юльевна Самсонова;Светлогорск (Калин.);бул. Дзержинского, д. 86 к. 214;Холдинг Транспортные компоненты;Интендант;+7 (786) 527-1871;kulakovanikita@mail.ru;1996-03-16;65311
Меркушев Мина Ефремович;Елец;наб. Ростовская, д. 2 стр. 7;Промышленно-металлургический холдинг;Мастер маникюра;8 (843) 827-6376;ignati_1998@yahoo.com;1968-08-22;197362
